"symbol","class","timeframe","strategy","family","params","base_trades","base_pf","base_winrate","base_payoff","base_netprofit","filter","filter_params","status"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=13;slow=89","74","1,4672","41,89","2,0352","59772","ADX_FILTER","adx=21;min=20","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=13;slow=89","74","1,4672","41,89","2,0352","59772","ATR_FILTER","atr=14;min_mult=1.0","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=13;slow=89","74","1,4672","41,89","2,0352","59772","ATR_FILTER","atr=14;min_mult=1.5","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=13;slow=89","74","1,4672","41,89","2,0352","59772","SESSION_FILTER","session=LONDON","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=13;slow=89","74","1,4672","41,89","2,0352","59772","SESSION_FILTER","session=NY","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=13;slow=89","74","1,4672","41,89","2,0352","59772","SESSION_FILTER","session=LONDON_NY","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=13;slow=89","74","1,4672","41,89","2,0352","59772","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=13;slow=89","74","1,4672","41,89","2,0352","59772","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","SMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","ADX_FILTER","adx=14;min=18","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","SMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","ADX_FILTER","adx=14;min=22","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","SMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","ADX_FILTER","adx=21;min=20","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","SMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","ATR_FILTER","atr=14;min_mult=1.0","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","SMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","ATR_FILTER","atr=14;min_mult=1.5","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","SMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","SESSION_FILTER","session=LONDON","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","SMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","SESSION_FILTER","session=NY","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","SMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","SESSION_FILTER","session=LONDON_NY","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","SMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","SMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","EMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","ADX_FILTER","adx=14;min=18","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","EMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","ADX_FILTER","adx=14;min=22","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","EMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","ADX_FILTER","adx=21;min=20","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","EMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","ATR_FILTER","atr=14;min_mult=1.0","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","EMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","ATR_FILTER","atr=14;min_mult=1.5","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","EMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","SESSION_FILTER","session=LONDON","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","EMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","SESSION_FILTER","session=NY","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","EMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","SESSION_FILTER","session=LONDON_NY","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","EMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M15","EMA_CROSS","TREND","fast=21;slow=34","150","1,4571","48","1,5785","3843","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M5","SMA_CROSS","TREND","fast=21;slow=34","153","1,4343","43,14","1,8255","235","ADX_FILTER","adx=14;min=18","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M5","SMA_CROSS","TREND","fast=21;slow=34","153","1,4343","43,14","1,8255","235","ADX_FILTER","adx=14;min=22","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M5","SMA_CROSS","TREND","fast=21;slow=34","153","1,4343","43,14","1,8255","235","ADX_FILTER","adx=21;min=20","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M5","SMA_CROSS","TREND","fast=21;slow=34","153","1,4343","43,14","1,8255","235","ATR_FILTER","atr=14;min_mult=1.0","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M5","SMA_CROSS","TREND","fast=21;slow=34","153","1,4343","43,14","1,8255","235","ATR_FILTER","atr=14;min_mult=1.5","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M5","SMA_CROSS","TREND","fast=21;slow=34","153","1,4343","43,14","1,8255","235","SESSION_FILTER","session=LONDON","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M5","SMA_CROSS","TREND","fast=21;slow=34","153","1,4343","43,14","1,8255","235","SESSION_FILTER","session=NY","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M5","SMA_CROSS","TREND","fast=21;slow=34","153","1,4343","43,14","1,8255","235","SESSION_FILTER","session=LONDON_NY","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M5","SMA_CROSS","TREND","fast=21;slow=34","153","1,4343","43,14","1,8255","235","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M5","SMA_CROSS","TREND","fast=21;slow=34","153","1,4343","43,14","1,8255","235","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M5","EMA_CROSS","TREND","fast=21;slow=34","153","1,4343","43,14","1,8255","235","ADX_FILTER","adx=14;min=18","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M5","EMA_CROSS","TREND","fast=21;slow=34","153","1,4343","43,14","1,8255","235","ADX_FILTER","adx=14;min=22","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M5","EMA_CROSS","TREND","fast=21;slow=34","153","1,4343","43,14","1,8255","235","ADX_FILTER","adx=21;min=20","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M5","EMA_CROSS","TREND","fast=21;slow=34","153","1,4343","43,14","1,8255","235","ATR_FILTER","atr=14;min_mult=1.0","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","M5","EMA_CROSS","TREND","fast=21;slow=34","153","1,4343","43,14","1,8255","235","ATR_FILTER","atr=14;min_mult=1.5","PENDING_FILTER_BACKTEST"
